标签文件,类别,问题,细节
frame1_000145.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_000145.txt,称重清零,R4连拍重复,与frame1_000144.txt几乎同框
frame1_000146.txt,称重清零,R4连拍重复,与frame1_000145.txt几乎同框
frame1_000147.txt,称重清零,R4连拍重复,与frame1_000146.txt几乎同框
frame1_000148.txt,称重清零,R4连拍重复,与frame1_000147.txt几乎同框
frame1_000149.txt,称重清零,R4连拍重复,与frame1_000148.txt几乎同框
frame1_000150.txt,称重清零,R4连拍重复,与frame1_000149.txt几乎同框
frame1_000151.txt,称重清零,R4连拍重复,与frame1_000150.txt几乎同框
frame1_000152.txt,称重清零,R4连拍重复,与frame1_000151.txt几乎同框
frame1_000153.txt,称重清零,R4连拍重复,与frame1_000152.txt几乎同框
frame1_000154.txt,称重清零,R4连拍重复,与frame1_000153.txt几乎同框
frame1_000155.txt,称重清零,R4连拍重复,与frame1_000154.txt几乎同框
frame1_000156.txt,称重清零,R4连拍重复,与frame1_000155.txt几乎同框
frame1_000157.txt,称重清零,R4连拍重复,与frame1_000156.txt几乎同框
frame1_000158.txt,称重清零,R4连拍重复,与frame1_000157.txt几乎同框
frame1_000159.txt,称重清零,R4连拍重复,与frame1_000158.txt几乎同框
frame1_000173.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000174.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000175.txt,装杯,R1静置误标(附近无人),person数=0
frame1_000176.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000177.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000178.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000179.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000180.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000181.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000181.txt,装杯,R4连拍重复,与frame1_000177.txt几乎同框
frame1_000182.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000183.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000185.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000187.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000188.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000189.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000190.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000191.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000192.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000193.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000194.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000195.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000195.txt,装杯,R4连拍重复,与frame1_000194.txt几乎同框
frame1_000196.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000197.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000198.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000199.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000200.txt,装杯,R1静置误标(附近无人),person数=2
frame1_000201.txt,舀料,R1静置误标(附近无人),person数=2
frame1_000202.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000203.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000204.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000205.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000205.txt,装杯,R4连拍重复,与frame1_000204.txt几乎同框
frame1_000206.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000207.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000208.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000208.txt,装杯,R4连拍重复,与frame1_000207.txt几乎同框
frame1_000209.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000210.txt,装杯,R1静置误标(附近无人),person数=2
frame1_000212.txt,装杯,R1静置误标(附近无人),person数=2
frame1_000230.txt,装杯,R1静置误标(附近无人),person数=0
frame1_000260.txt,加钢脚水泥,R2框太小,w=0.035 h=0.094
frame1_000262.txt,加钢脚水泥,R2框太小,w=0.035 h=0.115
frame1_000263.txt,加钢脚水泥,R2框太小,w=0.032 h=0.113
frame1_000265.txt,加钢脚水泥,R2框太小,w=0.033 h=0.117
